# start, end, duration
6.015000000000000000e+03,6.214000000000000000e+03,2.220000000000000000e+02
6.021000000000000000e+03,6.015000000000000000e+03,1.920000000000000000e+02
7.083000000000000000e+03,6.066000000000000000e+03,4.460000000000000000e+02
6.047000000000000000e+03,7.083000000000000000e+03,1.735000000000000000e+03
7.083000000000000000e+03,6.047000000000000000e+03,4.110000000000000000e+02
6.070000000000000000e+03,7.083000000000000000e+03,4.150000000000000000e+02
7.083000000000000000e+03,6.070000000000000000e+03,4.990000000000000000e+02
6.021000000000000000e+03,6.070000000000000000e+03,4.640000000000000000e+02
6.214000000000000000e+03,6.206000000000000000e+03,4.100000000000000000e+02
6.070000000000000000e+03,6.218000000000000000e+03,1.800000000000000000e+02
7.066000000000000000e+03,6.021000000000000000e+03,4.000000000000000000e+02
6.073000000000000000e+03,7.066000000000000000e+03,4.660000000000000000e+02
6.021000000000000000e+03,7.069000000000000000e+03,2.103000000000000000e+03
7.037000000000000000e+03,7.083000000000000000e+03,2.110000000000000000e+02
7.033000000000000000e+03,7.037000000000000000e+03,1.210000000000000000e+02
6.070000000000000000e+03,6.206000000000000000e+03,1.580000000000000000e+02
6.047000000000000000e+03,6.070000000000000000e+03,1.170000000000000000e+02
7.083000000000000000e+03,6.066000000000000000e+03,3.830000000000000000e+02
6.047000000000000000e+03,7.037000000000000000e+03,8.600000000000000000e+01
6.015000000000000000e+03,6.047000000000000000e+03,4.680000000000000000e+02
6.903000000000000000e+03,7.083000000000000000e+03,1.670000000000000000e+02
7.083000000000000000e+03,6.903000000000000000e+03,1.650000000000000000e+02
6.021000000000000000e+03,6.129000000000000000e+03,1.059000000000000000e+03
6.015000000000000000e+03,6.214000000000000000e+03,7.970000000000000000e+02
6.047000000000000000e+03,7.083000000000000000e+03,3.420000000000000000e+02
7.083000000000000000e+03,6.047000000000000000e+03,3.580000000000000000e+02
6.212000000000000000e+03,7.083000000000000000e+03,2.280000000000000000e+02
6.212000000000000000e+03,6.212000000000000000e+03,3.500000000000000000e+01
7.083000000000000000e+03,6.070000000000000000e+03,4.160000000000000000e+02
6.903000000000000000e+03,6.047000000000000000e+03,7.620000000000000000e+02
7.083000000000000000e+03,6.903000000000000000e+03,1.160000000000000000e+02
6.248000000000000000e+03,7.083000000000000000e+03,3.070000000000000000e+02
7.083000000000000000e+03,6.248000000000000000e+03,2.270000000000000000e+02
6.047000000000000000e+03,6.021000000000000000e+03,8.850000000000000000e+02
7.083000000000000000e+03,6.047000000000000000e+03,2.610000000000000000e+02
6.047000000000000000e+03,7.083000000000000000e+03,4.030000000000000000e+02
7.083000000000000000e+03,6.047000000000000000e+03,5.720000000000000000e+02
7.033000000000000000e+03,6.213000000000000000e+03,2.330000000000000000e+02
7.083000000000000000e+03,6.047000000000000000e+03,3.460000000000000000e+02
6.231000000000000000e+03,6.223000000000000000e+03,1.290000000000000000e+02
6.231000000000000000e+03,6.216000000000000000e+03,1.766000000000000000e+03
6.223000000000000000e+03,6.216000000000000000e+03,3.000000000000000000e+02
6.231000000000000000e+03,6.223000000000000000e+03,7.400000000000000000e+01
7.083000000000000000e+03,6.075000000000000000e+03,4.940000000000000000e+02
6.075000000000000000e+03,7.083000000000000000e+03,2.170000000000000000e+02
7.083000000000000000e+03,6.075000000000000000e+03,3.970000000000000000e+02
6.047000000000000000e+03,7.083000000000000000e+03,4.110000000000000000e+02
6.075000000000000000e+03,7.083000000000000000e+03,3.610000000000000000e+02
7.083000000000000000e+03,6.221000000000000000e+03,4.650000000000000000e+02
6.075000000000000000e+03,7.083000000000000000e+03,2.670000000000000000e+02
7.083000000000000000e+03,6.075000000000000000e+03,3.560000000000000000e+02
7.037000000000000000e+03,7.083000000000000000e+03,3.280000000000000000e+02
7.083000000000000000e+03,6.218000000000000000e+03,2.260000000000000000e+02
6.070000000000000000e+03,6.218000000000000000e+03,2.440000000000000000e+02
6.075000000000000000e+03,6.066000000000000000e+03,2.080000000000000000e+02
6.070000000000000000e+03,6.075000000000000000e+03,1.880000000000000000e+02
7.083000000000000000e+03,6.075000000000000000e+03,3.380000000000000000e+02
6.066000000000000000e+03,7.083000000000000000e+03,4.450000000000000000e+02
6.075000000000000000e+03,6.066000000000000000e+03,2.260000000000000000e+02
6.359000000000000000e+03,6.075000000000000000e+03,6.150000000000000000e+02
7.083000000000000000e+03,6.012000000000000000e+03,2.930000000000000000e+02
6.211000000000000000e+03,7.083000000000000000e+03,1.790000000000000000e+02
6.359000000000000000e+03,6.211000000000000000e+03,8.050000000000000000e+02
6.075000000000000000e+03,6.012000000000000000e+03,8.720000000000000000e+02
6.047000000000000000e+03,7.083000000000000000e+03,4.000000000000000000e+02
6.075000000000000000e+03,6.066000000000000000e+03,2.240000000000000000e+02
7.083000000000000000e+03,6.047000000000000000e+03,3.480000000000000000e+02
6.212000000000000000e+03,7.083000000000000000e+03,2.300000000000000000e+02
6.007000000000000000e+03,6.021000000000000000e+03,2.330000000000000000e+02
6.007000000000000000e+03,6.007000000000000000e+03,1.700000000000000000e+01
7.083000000000000000e+03,6.047000000000000000e+03,3.750000000000000000e+02
7.033000000000000000e+03,7.083000000000000000e+03,3.960000000000000000e+02
7.033000000000000000e+03,7.033000000000000000e+03,1.700000000000000000e+01
6.066000000000000000e+03,6.047000000000000000e+03,1.050000000000000000e+02
6.212000000000000000e+03,6.047000000000000000e+03,2.240000000000000000e+02
6.079000000000000000e+03,6.221000000000000000e+03,4.920000000000000000e+02
6.047000000000000000e+03,6.047000000000000000e+03,5.810000000000000000e+02
7.083000000000000000e+03,6.047000000000000000e+03,3.650000000000000000e+02
6.047000000000000000e+03,6.209000000000000000e+03,2.110000000000000000e+02
7.083000000000000000e+03,6.047000000000000000e+03,3.220000000000000000e+02
6.221000000000000000e+03,7.083000000000000000e+03,3.280000000000000000e+02
6.221000000000000000e+03,6.199000000000000000e+03,3.170000000000000000e+02
6.231000000000000000e+03,6.221000000000000000e+03,4.160000000000000000e+02
6.213000000000000000e+03,6.212000000000000000e+03,1.390000000000000000e+02
6.212000000000000000e+03,6.213000000000000000e+03,1.100000000000000000e+02
6.221000000000000000e+03,7.083000000000000000e+03,3.180000000000000000e+02
6.047000000000000000e+03,6.066000000000000000e+03,1.880000000000000000e+02
7.083000000000000000e+03,6.066000000000000000e+03,4.050000000000000000e+02
6.047000000000000000e+03,6.411000000000000000e+03,2.340000000000000000e+02
6.411000000000000000e+03,6.066000000000000000e+03,3.770000000000000000e+02
6.047000000000000000e+03,7.083000000000000000e+03,2.490000000000000000e+02
6.047000000000000000e+03,6.070000000000000000e+03,2.890000000000000000e+03
6.217000000000000000e+03,6.070000000000000000e+03,9.580000000000000000e+02
7.083000000000000000e+03,6.217000000000000000e+03,2.170000000000000000e+02
6.146000000000000000e+03,6.214000000000000000e+03,2.500000000000000000e+02
6.903000000000000000e+03,7.083000000000000000e+03,2.220000000000000000e+02
6.047000000000000000e+03,6.248000000000000000e+03,2.720000000000000000e+02
7.083000000000000000e+03,6.047000000000000000e+03,3.370000000000000000e+02
6.070000000000000000e+03,6.221000000000000000e+03,4.630000000000000000e+02
6.070000000000000000e+03,6.070000000000000000e+03,2.800000000000000000e+01
