start_date,start_station_code,end_date,end_station_code,duration_sec,is_member
,6204,,6047,77,
,6047,,6204,82,
,6221,,6047,339,
,6061,,6070,251,
,6231,,6075,275,
,6093,,6021,534,
,6021,,6093,788,
,6070,,6021,221,
,6202,,6047,239,
,6047,,6248,366,
,6021,,6047,435,
,6212,,6021,330,
,6206,,6021,281,
,6021,,6098,768,
,6154,,6174,594,
,6214,,6155,947,
,6047,,6079,81,
,6021,,6047,412,
,6203,,6021,239,
,6727,,6021,1638,
,6221,,6070,597,
,6021,,6217,458,
,7048,,6021,1805,
,7028,,6204,1892,
,6214,,7028,1701,
,6079,,6214,375,
,6034,,6079,332,
,6218,,6047,182,
,6047,,6206,80,
,6021,,6047,246,
,6205,,6021,245,
,6047,,6079,65,
,6021,,6060,466,
,6231,,6214,329,
,6214,,6216,335,
,6047,,6214,332,
,6021,,6047,316,
,6202,,6021,94,
,7033,,6214,338,
,6079,,6047,92,
,6218,,6047,223,
,6047,,6218,196,
,6218,,6047,149,
,6231,,6214,339,
,6021,,6216,449,
